deviceCode,location__longitude,location__latitude,location__wardName,time-record,time__recordedTime__$date,pyld__speed
8.65E+14,77.74485779,12.98618126,Kadugodi,2018-06-18T09:47:34.000Z,UFCW,11
8.65E+14,77.73123932,12.99385071,Hudi,2018-06-18T09:37:39.000Z,Overspeed,21
8.65E+14,77.73143005,12.99487305,Hudi,2018-06-18T09:38:17.000Z,Overspeed,9
8.65E+14,77.72975159,12.99569607,Hudi,2018-06-18T09:39:17.000Z,Overspeed,14
8.65E+14,77.72797394,12.995471,Hudi,2018-06-18T09:40:06.000Z,Overspeed,13
8.65E+14,77.72698212,12.99192619,Hudi,2018-06-18T09:41:46.000Z,Overspeed,14
8.65E+14,77.72728729,12.98965645,Hudi,2018-06-18T09:42:36.000Z,Overspeed,12
8.65E+14,77.73017883,12.98857307,Hudi,2018-06-18T09:43:33.000Z,HMW,28
8.65E+14,77.73325348,12.98804569,Hudi,2018-06-18T09:44:14.000Z,UFCW,25
8.65E+14,77.73636627,12.98768044,Kadugodi,2018-06-18T09:44:59.000Z,UFCW,14
8.65E+14,77.73670959,12.98765755,Kadugodi,2018-06-18T09:45:10.000Z,UFCW,10
8.65E+14,77.73970032,12.98762321,Kadugodi,2018-06-18T09:46:03.000Z,UFCW,26
8.65E+14,77.728302,12.99552059,Hudi,2018-06-18T09:39:59.000Z,Overspeed,14
8.65E+14,77.7275238,12.99027348,Hudi,2018-06-18T09:42:25.000Z,HMW,28
8.65E+14,77.73098755,12.9884882,Hudi,2018-06-18T09:43:43.000Z,UFCW,12
8.65E+14,77.73220825,12.9882412,Hudi,2018-06-18T09:44:01.000Z,HMW,29
8.65E+14,77.74451447,12.98512554,Kadugodi,2018-06-18T09:47:51.000Z,PCW,26
8.65E+14,77.7420578,12.97832298,Kadugodi,2018-06-19T01:45:36.000Z,PCW,16
8.65E+14,77.73401642,12.98782063,Kadugodi,2018-06-19T01:54:45.000Z,FCW,29
8.65E+14,77.72957611,12.98848629,Hudi,2018-06-19T01:56:27.000Z,FCW,30
8.65E+14,77.7287674,12.98862457,Hudi,2018-06-19T01:56:39.000Z,HMW,30
8.65E+14,77.74382019,12.98373604,Kadugodi,2018-06-19T01:47:30.000Z,UFCW,18
8.65E+14,77.74434662,12.98642254,Garudachar Playa,2018-06-19T01:48:47.000Z,UFCW,21
